route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101C,SU,115907005,C-Line Union Station,0, 101 11,1333836
101C,SU,115907006,C-Line Union Station,0, 101 13,1333836
101C,SU,115907007,C-Line Union Station,0, 101 12,1333836
101C,SU,115907008,C-Line Union Station,0, 101 11,1333836
101C,SU,115907009,C-Line Union Station,0, 101 13,1333836
101C,SU,115907010,C-Line Union Station,0, 101 12,1333836
101C,SU,115907011,C-Line Union Station,0, 101 11,1333836
101C,SU,115907012,C-Line Union Station,0, 101 13,1333836
101C,SU,115907013,C-Line Union Station,0, 101 12,1333836
101C,SU,115907014,C-Line Union Station,0, 101 11,1333836
101C,SU,115907015,C-Line Union Station,0, 101 13,1333836
101C,SU,115907016,C-Line Union Station,0, 101 13,1333836
101C,SU,115907017,C-Line Union Station,0, 101 12,1333836
101C,SU,115907018,C-Line Union Station,0, 101 15,1333836
101C,SU,115907019,C-Line Union Station,0, 101 13,1333836
101C,SU,115907020,C-Line Union Station,0, 101 12,1333836
